"","ENTREES","Genre","copies","DEVIS","distrib","produc","origine","AE","RD","coc","rang","duree","cannes","regard","quinzaine","venise","berlin","critlegit","critpopu","nbcritiques","rk_entrees","rk_copies","rk_devis","categ.copies"
"9209",12544,"Comédie",19,815421,"1","1","F100","1","1","TP",2,85,"0","0","0","0","0",2.66666666666667,3,0.8,33.1093142917148,33.5682454140325,11.3052781740371,"[10,20)"
"9210",14251,"Drame",24,NA,"1","NotAv","EUROPE","1","1","TP",2,87,"0","0","0","0","0",3.8,3,0.6,35.0624803108264,37.0038345942585,NA,"[20,50)"
"9211",2848,"ComDram",6,925000,"1","9","F100","1","1","TP",14,97,"0","0","0","0","0",3.4,3.33333333333333,0.6,14.6382442507613,18.3956886724013,12.9636233951498,"[5,10)"
"9212",5199,"Drame",22,862500,"1","9","MINO","1","1","TP",2,95,"0","0","0","0","0",3.66666666666667,3,0.733333333333333,21.5635829045469,35.9208208104467,12.2503566333809,"[20,50)"
"9213",36060,"Animation",59,NA,"1","9",NA,"1","0","TP",1,73,"0","0","0","0","0",4.16666666666667,3,0.8,47.6425496167174,52.8189449683905,NA,"[50,100)"
"9214",1828,"Drame",6,1219543,"1","9","MAJO","1","1","16",4,156,"0","0","0","0","0",2.5,3,0.4,10.4693898981413,18.3956886724013,16.6012838801712,"[5,10)"
"9215",42643,"ComDram",50,1899554,"3","3","F100","1","0","TP",3,119,"0","0","0","0","0",3.33333333333333,4,0.933333333333333,49.921243305681,50.0829101461291,23.555634807418,"[50,100)"
"9216",178944,"Drame",200,5335564,"3","9","MAJO","1","0","TP",7,98,"0","0","0","0","0",3.83333333333333,3.66666666666667,0.8,70.0619552661976,74.8315887656752,48.1455064194009,"[200,400)"
"9217",22195,"Action",30,413000,"3","9","MINO","1","0","12",2,103,"0","0","0","0","0",2.66666666666667,4,0.466666666666667,41.0479890790717,41.0975230593844,5.93794579172611,"[20,50)"
"9218",76722,"Drame",150,7997201,"3","9","MAJO","1","0","TP",3,108,"0","0","0","0","0",4,3.25,0.933333333333333,58.5109734327418,68.4889625867966,57.0613409415121,"[100,200)"
"9219",218328,"Drame",83,12173300,"3","9","TIERS","1","1","TP",13,105,"1","0","0","0","0",4.6,4.33333333333333,0.666666666666667,72.6556757324373,58.4620167893046,65.4957203994294,"[50,100)"
"9220",71075,"Drame",66,3658303,"3","3","MAJO","1","0","TPA",1,115,"0","0","0","0","0",4.16666666666667,4,0.866666666666667,57.2508663236375,54.7828790548243,37.2146932952924,"[50,100)"
"9221",198603,"Comédie",172,3092850,"3","9","MAJO","1","0","TP",1,89,"0","0","0","0","0",3,4.25,0.733333333333333,71.4060695159089,71.1628147994611,33.7018544935806,"[100,200)"
"9222",29227,"Drame",70,2353686,"3","9","F100","1","0","12",1,98,"0","0","0","0","0",3,3,0.733333333333333,44.6497952325948,55.6793450098456,28.2275320970043,"[50,100)"
"9223",225341,"Comédie",105,NA,"3","9","EUROPE","1","0","TP",2,93,"0","0","0","0","1",3.5,3.75,0.666666666666667,73.159718576079,62.3432480049746,NA,"[100,200)"
"9224",49763,"Drame",64,1588515,"3","9","F100","1","0","TP",3,89,"0","0","0","0","0",3.2,4,0.666666666666667,52.0739262837341,54.243963104985,20.4529243937233,"[50,100)"
"9225",28655,"Drame",88,5152355,"3","9","MINO","1","0","TP",13,130,"0","0","1","0","0",4,4,0.733333333333333,44.4082747033498,59.2703907140636,46.0057061340941,"[50,100)"
"9226",37160,"Drame",64,1986107,"3","9","F100","1","0","TP",1,103,"0","0","1","0","0",3.5,3.5,0.866666666666667,47.9575763939935,54.243963104985,24.3937232524964,"[50,100)"
"9227",3687,"Documentaire",6,NA,"3","9","F100","1","0","TP",4,90,"0","0","0","0","0",1.5,4,0.533333333333333,17.5679932794288,18.3956886724013,NA,"[5,10)"
"9228",3240,"Sci-Fi",2,1103173,"9","9","F100","0","0","TP",1,86,"0","0","0","0","0",2.66666666666667,1.66666666666667,0.466666666666667,15.9718576078967,8.46201678930459,15.067760342368,"[1,5)"
"9229",11564,"Documentaire",10,NA,"9","9","F100","1","1","TP",1,111,"0","0","0","0","0",4,3,0.466666666666667,31.9647170009451,24.8626800704736,NA,"[10,20)"
"9230",23368,"Documentaire",12,282258,"9","9","F100","1","1","TP",1,78,"0","0","0","0","0",3.8,3.66666666666667,0.666666666666667,41.6990444187756,27.5365322831382,3.90513552068474,"[10,20)"
"9231",192,"Drame",NA,NA,"9","9","TIERS","0","0","TPA",1,81,"0","0","0","0","0",NA,NA,0,1.27060800168014,NA,NA,NA
"9232",189705,"ComDram",131,3998808,"3","3","MINO","1","0","TP",6,100,"0","0","1","0","0",2.83333333333333,4,1,70.8705239945395,65.8669292154627,40.4243937232525,"[100,200)"
"9233",381836,"Drame",197,6852162,"3","9","MAJO","1","0","TP",9,98,"0","0","0","0","0",2.8,3.25,0.866666666666667,80.5733487346425,74.1268525235776,53.2988587731812,"[100,200)"
"9234",102827,"Drame",99,1945097,"3","9","MINO","1","0","TP",6,127,"1","0","0","0","0",3.4,4.33333333333333,0.8,62.5958206447548,61.0892320447715,24.0192582025678,"[50,100)"
"9235",196267,"Drame",184,8999123,"3","3","MINO","1","0","TP",5,107,"0","0","0","0","0",2.4,3,0.733333333333333,71.2170534495432,72.5774691677894,60.4315263908702,"[100,200)"
"9236",551750,"Comédie",362,3996055,"3","9","MAJO","1","0","TP",7,102,"0","0","0","0","0",2.5,3.75,0.866666666666667,85.2672477160559,88.0868483780703,40.1569186875892,"[200,400)"
"9237",26368,"Comédie",39,1192645,"3","3","MINO","1","1","TP",5,87,"0","1","0","0","0",3.83333333333333,4,0.8,43.3791872309146,45.4658513835631,16.1198288159772,"[20,50)"
"9238",240688,"Drame",116,1531662,"3","9","MAJO","1","0","TP",8,83,"0","0","1","0","0",3.8,3.75,0.8,74.0102908747243,63.8252668670329,20.0962910128388,"[100,200)"
"9239",146724,"Comédie",114,NA,"3","9","USA","1","0","TP",11,118,"1","0","0","0","0",4.33333333333333,4.5,0.933333333333333,67.468234799958,63.5869001969116,NA,"[100,200)"
"9240",641002,"Comédie",237,3994999,"3","1","F100","1","1","TP",2,96,"0","0","0","0","1",3.4,4,0.733333333333333,86.8948860653155,78.4589076588248,40.0320970042796,"[200,400)"
"9241",908456,"Drame",251,4655645,"3","9","MINO","1","0","TP",31,97,"1","0","0","0","0",3.66666666666667,3.5,1,90.5912002520214,80.0652917400767,43.830242510699,"[200,400)"
"9242",132439,"Comédie",251,3412357,"3","9","F100","0","0","TP",7,95,"0","0","0","0","0",1,3.25,0.533333333333333,65.8826000210018,80.0652917400767,35.8594864479315,"[200,400)"
"9243",1505995,"ComDram",418,5345262,"3","9","F100","1","0","TP",3,102,"0","0","0","0","0",2.8,4.25,0.866666666666667,94.5395358605482,91.0042491449891,48.4308131241084,"[400,600)"
"9244",48617,"Sci-Fi",42,2922503,"3","9","MINO","1","1","TP",7,128,"0","0","1","0","0",2.8,4,0.666666666666667,51.6906437047149,47.144781842678,32.4179743223966,"[20,50)"
"9245",30349,"ComDram",56,795000,"3","9","MINO","1","0","TP",1,83,"0","0","0","0","0",3.2,2,0.466666666666667,45.1748398613882,52.119390610426,10.9664764621969,"[50,100)"
"9246",284816,"Action",256,8037325,"3","9","F100","0","0","TP",4,117,"0","0","0","0","0",2,4.33333333333333,0.6,76.2469809933844,80.4902062389885,57.293152639087,"[200,400)"
"9247",13185,"Action",32,853974,"2","9","MAJO","1","1","12",1,104,"0","1","0","0","0",3,3.66666666666667,0.8,33.9493856977843,42.387812208519,12.2146932952924,"[20,50)"
"9248",55838,"ComDram",158,3477142,"2","9","F100","1","0","TP",1,89,"0","0","0","0","0",2.75,3.33333333333333,0.733333333333333,53.7750708810249,69.6134314436729,36.216119828816,"[100,200)"
